target,outer_fold,inner_fold,config_id,selection_metric,selection_metric_value,final_train_loss,hidden_dim,dropout,learning_rate,weight_decay,batch_size,threshold,activation,hamming_loss,exact_match,precision_micro,recall_micro,f1_micro,f1_macro
GDS_R1,1,1,1,f1_macro,0.3055555555555555,0.28275332020110444,32,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,1,2,1,f1_macro,0.3054545454545455,0.30228152071069553,32,0.3,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,1,3,1,f1_macro,0.3060109289617486,0.2866343266800221,32,0.3,0.001,0.0,32,0.5,relu,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,1,1,2,f1_macro,0.3077858880778589,0.3322446363813737,16,0.3,0.001,0.0,32,0.5,relu,0.09810479375696766,0.8461538461538461,0.8576271186440678,0.8461538461538461,0.8518518518518519,0.3077858880778589
GDS_R1,1,2,2,f1_macro,0.3054545454545455,0.3052418239964735,16,0.3,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,1,3,2,f1_macro,0.45697167755991286,0.35591764136574777,16,0.3,0.001,0.0,32,0.5,relu,0.09539842873176206,0.8552188552188552,0.8581081081081081,0.8552188552188552,0.8566610455311973,0.45697167755991286
GDS_R1,1,1,3,f1_macro,0.3055555555555555,0.224755398215366,64,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,1,2,3,f1_macro,0.3054545454545455,0.24061100714958755,64,0.3,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,1,3,3,f1_macro,0.3060109289617486,0.2266236770292822,64,0.3,0.001,0.0,32,0.5,relu,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,1,1,4,f1_macro,0.3055555555555555,0.26536651879799467,32,0.2,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,1,2,4,f1_macro,0.3054545454545455,0.28287624567747116,32,0.2,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,1,3,4,f1_macro,0.3060109289617486,0.2727228246841399,32,0.2,0.001,0.0,32,0.5,relu,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,1,1,5,f1_macro,0.3055555555555555,0.2629305047648294,32,0.5,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
