target,mean_hamming_loss,std_hamming_loss,mean_f1_macro,mean_f1_micro,mean_exact_match
GDS,,,,,
GDS_R1,0.09439096495598738,0.013790337153472413,0.5162207976698376,0.859422419904552,0.8561714000996512
GDS_R2,0.1832215240544837,0.010977614995487361,0.5780372949083992,0.7030736259506514,0.6505679730018296
GDS_R3,0.08849028400597907,0.018084831093806004,0.8139638464933121,0.9117927109450925,0.9079262580966617
GDS_R4,0.11645488345488346,0.0098083755632576,0.4897275692062724,0.8266821730977775,0.820400900900901
GDS_R5,0.14747177574756049,0.008047276450035511,0.5086454963130674,0.7794838457803828,0.7729846718916226
