target,outer_fold,example_id,class,mean_probability,std_probability,predicted_label,threshold
GDS_R1,1,0,1,0.945706307888031,0.05449287220835686,1,0.4
GDS_R1,1,0,2,0.0463285967707634,0.04545346647500992,0,0.4
GDS_R1,1,0,3,0.04005684703588486,0.04527715593576431,0,0.4
GDS_R1,1,1,1,0.926974356174469,0.045247647911310196,1,0.4
GDS_R1,1,1,2,0.04934781417250633,0.02864551730453968,0,0.4
GDS_R1,1,1,3,0.04429420828819275,0.03789665549993515,0,0.4
GDS_R1,1,2,1,0.9203471541404724,0.051481109112501144,1,0.4
GDS_R1,1,2,2,0.06168422847986221,0.04673432931303978,0,0.4
GDS_R1,1,2,3,0.04983285441994667,0.05533895641565323,0,0.4
GDS_R1,1,3,1,0.9299867153167725,0.044390901923179626,1,0.4
GDS_R1,1,3,2,0.06785383820533752,0.05522415041923523,0,0.4
GDS_R1,1,3,3,0.04671534150838852,0.029158763587474823,0,0.4
GDS_R1,1,4,1,0.8055852651596069,0.05982029810547829,1,0.4
GDS_R1,1,4,2,0.15332096815109253,0.047240160405635834,0,0.4
GDS_R1,1,4,3,0.08908656984567642,0.035282235592603683,0,0.4
GDS_R1,2,0,1,0.8725116848945618,0.07140614092350006,1,0.4
GDS_R1,2,0,2,0.11117897182703018,0.059488408267498016,0,0.4
GDS_R1,2,0,3,0.038100771605968475,0.02338407374918461,0,0.4
GDS_R1,2,1,1,0.9455394744873047,0.03950085863471031,1,0.4
GDS_R1,2,1,2,0.04392549395561218,0.029217224568128586,0,0.4
GDS_R1,2,1,3,0.0126534104347229,0.010266025550663471,0,0.4
GDS_R1,2,2,1,0.9152103662490845,0.050917450338602066,1,0.4
GDS_R1,2,2,2,0.07266250252723694,0.03894400596618652,0,0.4
GDS_R1,2,2,3,0.030251918360590935,0.021558566018939018,0,0.4
GDS_R1,2,3,1,0.88983154296875,0.05441916361451149,1,0.4
GDS_R1,2,3,2,0.0891689583659172,0.04946301504969597,0,0.4
GDS_R1,2,3,3,0.045457299798727036,0.029068265110254288,0,0.4
GDS_R1,2,4,1,0.9325226545333862,0.03984491154551506,1,0.4
GDS_R1,2,4,2,0.05133200064301491,0.02873324230313301,0,0.4
GDS_R1,2,4,3,0.021148256957530975,0.018190735951066017,0,0.4
GDS_R1,3,0,1,0.9183657169342041,0.054000865668058395,1,0.4
GDS_R1,3,0,2,0.09787698090076447,0.062267906963825226,0,0.4
GDS_R1,3,0,3,0.04393650218844414,0.03156280890107155,0,0.4
GDS_R1,3,1,1,0.8519578576087952,0.06945229321718216,1,0.4
GDS_R1,3,1,2,0.15557876229286194,0.05442342162132263,0,0.4
GDS_R1,3,1,3,0.06772826611995697,0.0408133864402771,0,0.4
GDS_R1,3,2,1,0.8159778714179993,0.06126262992620468,1,0.4
GDS_R1,3,2,2,0.19514167308807373,0.06410476565361023,0,0.4
GDS_R1,3,2,3,0.08855642378330231,0.038872938603162766,0,0.4
GDS_R1,3,3,1,0.9551719427108765,0.02947106771171093,1,0.4
GDS_R1,3,3,2,0.05882886052131653,0.041670896112918854,0,0.4
GDS_R1,3,3,3,0.025820964947342873,0.016738438978791237,0,0.4
GDS_R1,3,4,1,0.8668876886367798,0.047841958701610565,1,0.4
GDS_R1,3,4,2,0.148783877491951,0.05940829589962959,0,0.4
GDS_R1,3,4,3,0.0717441663146019,0.04284382984042168,0,0.4
GDS_R1,4,0,1,0.7132330536842346,0.07529565691947937,1,0.5
GDS_R1,4,0,2,0.3281664550304413,0.06944074481725693,0,0.5
GDS_R1,4,0,3,0.008860861882567406,0.01144107710570097,0,0.5
GDS_R1,4,1,1,0.9722869396209717,0.018491452559828758,1,0.5
GDS_R1,4,1,2,0.03571644425392151,0.029388999566435814,0,0.5
GDS_R1,4,1,3,0.0001421023189323023,0.00020190770737826824,0,0.5
GDS_R1,4,2,1,0.9877421855926514,0.013506846502423286,1,0.5
GDS_R1,4,2,2,0.016839802265167236,0.015859471634030342,0,0.5
GDS_R1,4,2,3,1.7681037206784822e-05,2.6429104764247313e-05,0,0.5
GDS_R1,4,3,1,0.9914047122001648,0.00832336861640215,1,0.5
GDS_R1,4,3,2,0.01416697632521391,0.012931184843182564,0,0.5
GDS_R1,4,3,3,1.4355636267282534e-05,2.6009773137047887e-05,0,0.5
GDS_R1,4,4,1,0.9274926781654358,0.04768090695142746,1,0.5
GDS_R1,4,4,2,0.09245126694440842,0.05421013757586479,0,0.5
GDS_R1,4,4,3,0.0006947449874132872,0.0015949010848999023,0,0.5
